PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
399,0,0,10.427,-751.538,-298.166,0,0,0,0
400,0,0,10.428,-751.781,-297.993,0,0,0,0
401,0,0,10.42,-752.064,-297.777,0,0,0,0
402,0,0,10.426,-752.302,-297.596,0,0,0,0
403,0,0,10.426,-752.561,-297.372,0,0,0,0
404,0,0,10.42,-752.816,-297.167,0,0,0,0
405,0,0,10.456,-756.08,-294.126,0,0,0,0
406,0,0,10.404,-756.372,-293.795,0,0,0,0
407,0,0,10.406,-756.648,-293.428,0,0,0,0
408,0,0,10.407,-756.873,-293.193,0,0,0,0
409,0,0,10.408,-757.052,-292.959,0,0,0,0
410,0,0,10.406,-757.24,-292.708,0,0,0,0
411,0,0,10.408,-757.428,-292.463,0,0,0,0
412,0,0,10.402,-757.611,-292.237,0,0,0,0
413,0,0,10.419,-757.807,-291.996,0,0,0,0
414,0,0,10.413,-757.974,-291.779,0,0,0,0
415,0,0,10.435,-758.163,-291.525,0,0,0,0
416,0,0,10.426,-758.362,-291.217,0,0,0,0
417,0,0,10.432,-758.529,-290.987,0,0,0,0
418,0,0,10.432,-758.707,-290.746,0,0,0,0
419,0,0,10.419,-758.855,-290.518,0,0,0,0
